Cliente	Año	Mes	Tiempo
1000	2015	7	27
1000	2015	2	280
1000	2015	5	80
1000	2015	7	391
1000	2015	5	384
1000	2015	11	99
1000	2015	7	17
1000	2015	10	150
1000	2015	6	439
1000	2015	10	441
1000	2015	6	161
1000	2015	3	351
1000	2015	5	116
1000	2015	10	216
1000	2015	2	347
1000	2015	7	447
1000	2015	4	117
1000	2015	10	77
1000	2015	11	217
1000	2015	6	162
1000	2015	11	443
1000	2015	3	121
1000	2015	9	82
1000	2015	7	380
1000	2015	7	123
1000	2016	9	380
1000	2016	9	409
1000	2016	1	437
1000	2016	11	271
1000	2016	1	384
1000	2016	2	383
1000	2016	11	283
1000	2016	10	137
1000	2016	4	427
1000	2016	11	62
1000	2016	6	115
1000	2016	9	58
1000	2016	9	476
1000	2016	6	459
1000	2016	1	341
1000	2016	8	338
1000	2016	4	230
1000	2016	6	87
1000	2016	8	384
1000	2016	5	234
1000	2016	3	250
1000	2016	3	337
1000	2016	12	116
1000	2016	12	89
1000	2016	11	114
1000	2016	2	189
1000	2016	3	345
1000	2016	11	79
1000	2016	4	247
1000	2016	12	110
1000	2016	4	424
1000	2016	4	224
1000	2016	10	406
1000	2016	1	165
1000	2016	6	146
1000	2016	8	65
1000	2016	3	394
1000	2016	1	17
1000	2016	6	273
1000	2016	5	175
1000	2016	2	321
1000	2016	1	33
1000	2016	12	273
1000	2016	1	316
1000	2016	5	339
1000	2016	8	401
1000	2016	9	175
1000	2016	1	405
1000	2016	1	171
1000	2016	6	284
1000	2016	9	316
1000	2016	11	309
1000	2016	8	230
1000	2016	5	214
1000	2016	4	23
1000	2016	11	250
1000	2016	11	392
1000	2016	12	247
1000	2016	8	319
1000	2016	2	165
1000	2016	10	443
1000	2016	6	394
1000	2016	9	338
1000	2016	12	72
1000	2016	9	353
1000	2016	8	298
1000	2016	1	97
1000	2016	11	30
1000	2016	11	119
1000	2016	11	209
1000	2016	12	212
1000	2016	1	69
1000	2016	7	361
1000	2016	5	138
1000	2016	11	162
1000	2016	10	330
1000	2016	10	140
1000	2016	5	243
1000	2016	9	439
1000	2017	11	19
1000	2017	11	46
1000	2017	2	78
1000	2017	8	457
1000	2017	2	175
1000	2017	9	449
1000	2017	11	34
1000	2017	8	257
1000	2017	3	400
1000	2017	2	37
1000	2017	6	87
1000	2017	4	228
1000	2017	4	245
1000	2017	4	165
1000	2017	11	480
1000	2017	12	222
1000	2017	1	128
1000	2017	6	181
1000	2017	4	342
1000	2017	6	263
1000	2017	5	333
1000	2017	3	444
1000	2017	12	349
1000	2017	1	476
1000	2017	10	82
1000	2017	5	354
1000	2017	7	463
1000	2017	7	284
1000	2017	8	56
1000	2017	4	16
1000	2017	7	50
1000	2017	11	202
1010	2015	12	166
1010	2015	4	459
1010	2015	10	107
1010	2015	3	291
1010	2015	4	181
1010	2015	8	193
1010	2015	11	86
1010	2015	4	439
1010	2015	7	296
1010	2015	9	455
1010	2015	2	102
1010	2015	4	403
1010	2015	12	243
1010	2015	12	131
1010	2015	10	153
1010	2015	11	422
1010	2015	1	391
1010	2015	1	49
1010	2015	10	122
1010	2015	6	73
1010	2015	10	78
1010	2015	11	34
1010	2015	12	410
1010	2015	1	44
1010	2015	9	480
1010	2015	3	427
1010	2015	8	246
1010	2015	11	263
1010	2015	5	212
1010	2015	4	114
1010	2015	5	114
1010	2015	10	351
1010	2015	5	303
1010	2015	11	263
1010	2015	4	318
1010	2015	1	293
1010	2015	6	220
1010	2015	6	37
1010	2015	4	359
1010	2015	5	169
1010	2015	6	240
1010	2015	7	358
1010	2015	12	332
1010	2015	3	337
1010	2015	12	461
1010	2015	7	242
1010	2015	12	187
1010	2015	12	16
1010	2015	12	114
1010	2015	11	203
1010	2015	5	330
1010	2015	4	417
1010	2015	12	145
1010	2015	12	43
1010	2015	8	415
1010	2015	10	319
1010	2015	10	386
1010	2015	5	49
1010	2015	10	355
1010	2016	10	144
1010	2016	4	31
1010	2016	1	54
1010	2016	1	399
1010	2016	3	381
1010	2016	8	165
1010	2016	5	356
1010	2016	3	316
1010	2016	3	283
1010	2016	5	273
1010	2016	9	467
1010	2016	8	360
1010	2016	12	452
1010	2016	4	256
1010	2016	11	323
1010	2016	9	163
1010	2016	4	319
1010	2016	7	387
1010	2016	6	180
1010	2016	10	185
1010	2016	7	248
1010	2016	9	93
1010	2016	3	383
1010	2016	1	179
1010	2016	2	433
1010	2016	9	292
1010	2016	1	222
1010	2016	12	169
1010	2016	10	234
1010	2016	8	301
1010	2016	7	42
1010	2016	7	272
1010	2016	7	298
1010	2016	2	101
1010	2016	12	299
1010	2016	4	34
1010	2016	6	328
1010	2016	9	175
1010	2016	12	352
1010	2016	6	475
1010	2016	3	174
1010	2016	7	315
1010	2016	12	47
1010	2016	4	322
1010	2016	4	95
1010	2016	11	48
1010	2016	2	333
1010	2016	3	288
1010	2016	4	458
1010	2016	4	446
1010	2016	2	274
1010	2016	5	37
1010	2016	8	208
1010	2016	1	165
1010	2016	10	105
1010	2016	12	429
1010	2016	6	121
1010	2016	3	297
1010	2016	9	206
1010	2016	4	72
1010	2016	8	414
1010	2017	3	18
1010	2017	4	444
1010	2017	7	350
1010	2017	2	206
1010	2017	3	101
1010	2017	12	434
1010	2017	4	176
1010	2017	5	126
1010	2017	11	316
1010	2017	6	281
1010	2017	7	35
1010	2017	6	375
1010	2017	5	139
1010	2017	11	146
1010	2017	1	380
1010	2017	8	65
1010	2017	3	286
1010	2017	3	110
1010	2017	6	143
1010	2017	1	173
1010	2017	10	235
1010	2017	12	461
1010	2017	10	350
1010	2017	6	87
1010	2017	2	465
1010	2017	7	55
1010	2017	5	68
1010	2017	1	127
1010	2017	10	365
1010	2017	1	118
1010	2017	1	323
1010	2017	8	34
1010	2017	8	298
1010	2017	11	145
1010	2017	5	328
1010	2017	3	101
1010	2017	11	282
1010	2017	3	451
1010	2017	12	102
1010	2017	12	125
1010	2017	7	441
1010	2017	6	393
1010	2018	9	400
1010	2018	6	459
1010	2018	9	86
1010	2018	2	315
1010	2018	11	307
1010	2018	5	71
1010	2018	5	357
1010	2018	12	480
1010	2018	5	69
1010	2018	8	62
1010	2018	8	177
1010	2018	12	224
1010	2018	10	232
1010	2018	12	320
1010	2018	11	385
1010	2018	1	83
1010	2018	10	176
1010	2018	9	393
1010	2018	3	116
1010	2018	6	462
1010	2018	11	280
1010	2018	1	240
1010	2018	1	383
1010	2018	11	113
1010	2018	6	256
1010	2018	12	225
1010	2018	1	91
1010	2018	3	43
1010	2018	2	295
1010	2018	4	243
1010	2018	11	341
1010	2018	9	243
1010	2018	4	327
1010	2018	11	106
1010	2018	1	473
1010	2018	9	115
1010	2018	1	36
1010	2018	3	424
1010	2018	2	68
1010	2018	2	187
1010	2018	11	310
1010	2018	4	254
1010	2018	5	165
1010	2018	8	160
1010	2018	12	19
1010	2018	9	67
